,country_name,state_name,Zip,As of Date,health_risk_type_description,toxin_type_name,toxin_type_cd,toxin_limit_unit,toxin_limit_value,utility_id
0,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
1,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
2,St. Croix,Virgin Islands,78010,2020-12-31,"Increased risk of cancer, kidney toxicity",COMBINED URANIUM,4006,μg/L,30,TX1330041
3,St. Croix,Virgin Islands,78010,2020-12-31,Hair or fingernail loss; numbness in fingers or toes; circulatory problems,SELENIUM,1045,MG/L,0.050000000000000003,TX1330011
4,St. Croix,Virgin Islands,78010,2020-12-31,"Skin damage or problems with circulatory systems, and may have increased risk of getting cancer",ARSENIC,1005,MG/L,0.01,TX0100012
5,St. Croix,Virgin Islands,78010,2020-12-31,Allergic dermatitis,CHROMIUM,1020,MG/L,0.10000000000000001,TX0100012
6,St. Croix,Virgin Islands,78010,2020-12-31,Increase in blood pressure,BARIUM,1010,MG/L,2,TX0100012
7,St. Croix,Virgin Islands,78010,2020-12-31,Infants and children: Delays in physical or mental development; children could show slight deficits in attention span and learning abilities; Adults: Kidney problems; high blood pressure,LEAD,1030,TT; Action Level,0.014999999999999999,TX1330001
8,St. Croix,Virgin Islands,78010,2020-12-31,Short-term exposure: Gastrointestinal distress. Long- term exposure: Liver or kidney damage. People with Wilson’s Disease should consult their personal doctor if the amount of copper in their water exceeds the action level,"COPPER, FREE",1022,TT; Action Level=1.3,1.3,TX1330001
9,St. Croix,Virgin Islands,78010,2020-12-31,"Liver, kidney, or central nervous system problems; increased risk of cancer",TTHM,2950,MG/L,0.080000000000000002,TX0100012
10,St. Croix,Virgin Islands,78010,2020-12-31,Bone disease (pain and tenderness of the bones); children may get mottled teeth,FLUORIDE,1025,MG/L,4,TX1330001
11,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,TOTAL HALOACETIC ACIDS (HAA5),2456,MG/L,0.059999999999999998,TX1330041
12,St. Croix,Virgin Islands,78010,2020-12-31,Minor kidney changes,DALAPON,2031,MG/L,0.20000000000000001,TX1330001
13,St. Croix,Virgin Islands,78010,2020-12-31,Increased risk of cancer,COMBINED RADIUM (-226 & -228),4010,pCi/L,5,TX1330001
14,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-226,4020,MG/L,0,TX1330001
15,St. Croix,Virgin Islands,78010,2020-12-31,,RADIUM-228,4030,MG/L,0,TX1330001
16,St. Croix,Virgin Islands,78010,2020-12-31,"Nervous system, kidney, or liver problems",TOLUENE,2991,MG/L,1,TX1330001
17,St. Croix,Virgin Islands,78010,2020-12-31,"Infants below the age of six months who drink water containing nitrate in excess of the MCL could become seriously ill and, if untreated, may die. Symptoms include shortness of breath and blue-baby syndrome.",NITRATE,1040,MG/L,10,TX1330041
